Title,Artist,ReleaseDate,Info,MetaScore,UserScore,Cover
Ten Freedom Summers,Wadada Leo Smith,"May 22, 2012",The four-disc set from the jazz trumpeter was inspired by the Civil Rights Movement.,99,4.1,https://static.metacritic.com/images/products/music/4/b7d7ac01ded710609e22f23086fe9c69-98.jpg
Fetch the Bolt Cutters,Fiona Apple,"April 17, 2020","The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.",98,8.1,https://static.metacritic.com/images/products/music/6/3fac9024d9a862da5cb23f87a4853448-98.jpg
SMiLE,Brian Wilson,"September 28, 2004","Well, better 37 years late than never. Originally intended to be the Beach Boys' 1967 follow-up to their legendary 'Pet Sounds,' 'Smile' was finally recorded as originally intended in April 2004 by Wilson and his current band, including co-songwriter Van Dyke Parks.",97,7.9,https://static.metacritic.com/images/products/music/1/e735bf38ca5df5fbeb5f25c738f124fc-98.jpg
Van Lear Rose,Loretta Lynn,"April 27, 2004","It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.",97,8.4,https://static.metacritic.com/images/products/music/8/c53f80d40f680b29bd0c2fbffa69a812-98.jpg
To Pimp A Butterfly,Kendrick Lamar,"March 16, 2015","The third full-length studio release from the hip hop artist features guest appearances from Bilal, George Clinton, James Fauntleroy, Ronald Isley, Rapsody, Snoop Dogg, Thundercat, and Anna Wise.",96,8.9,https://static.metacritic.com/images/products/music/3/323ffc6b09737dc2dbb7d511772466e0-98.jpg
Ghosteen,Nick Cave & The Bad Seeds,"October 4, 2019",The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.,96,8.6,https://static.metacritic.com/images/products/music/7/7070c2a7429b968cb5357f7e222fd7b7-98.jpg
Histoire de Melody Nelson,Serge Gainsbourg,"March 24, 2009",The US release of Serge Gainsbourg's 1971 album featuring Jane Birkin in the classic Ballade de Melody Nelson.,96,8.0,https://static.metacritic.com/images/products/music/6/aad13ce0577c8d8a1d19af9c7066fc8e-98.jpg
DAMN.,Kendrick Lamar,"April 14, 2017","The fourth full-length studio release for the Compton rapper features guest appearances from Rihanna, U2, and Zacari.",95,8.4,https://static.metacritic.com/images/products/music/1/413ce2e1200981ad7114c3b04836378a-98.jpg
Stankonia,Outkast,"October 31, 2000","Featuring the hit singles ""B.O.B."" and ""Ms. Jackson,"" 'Stankonia' was a commercial and critical hit for the innovative Atlanta hip-hop duo of Dré and Big Boi.",95,8.8,https://static.metacritic.com/images/products/music/9/a3556781d32c32679cf702fe517c67c5-98.jpg
Rough and Rowdy Ways,Bob Dylan,"June 19, 2020",The first new studio release of new music for the singer-songwriter in eight years.,95,7.6,https://static.metacritic.com/images/products/music/6/2750f1d58951e93ecfa71f5c0ef6258d-98.jpg
Black Messiah,D'Angelo,"December 15, 2014","The first release in 14 years for the R&B singer features songs co-written with Q-Tip and Kendra Foster as well as co-production from James Gadson, Pino Palladino,and Questlove.",95,8.8,https://static.metacritic.com/images/products/music/1/ac6e4af86fb3cf602a737686bc332014-98.jpg
Conflict Of Interest,Ghetts,"February 19, 2021","The third full-length studio release for the British grime artist features guest appearances from BackRoad Gee, Dave, Giggs, Hamzaaand, Jaykae, Aida Lae, Miraa May, Pa Salieu, Emeli Sande, Moonchild Sanelly, Ed Sheeran, Skepta, Stormzy, and Wretch 32.",95,6.5,https://static.metacritic.com/images/products/music/1/fa7c0f06c906afa821fc713dbc1c2be3-98.jpg
Skeleton Tree,Nick Cave & The Bad Seeds,"September 9, 2016","Nick Cave's 15-year-old son died in an accident while he was working on the alternative rock band's 16th album. The recording sessions were filmed for Andrew Dominik's documentary, One More Time With Feel.",95,8.3,https://static.metacritic.com/images/products/music/7/b93b92cd67e83a3fa4fd2b4c76c3dd61-98.jpg
Savane,Ali Farka Toure,"July 25, 2006","'Savane' is the final album from the acclaimed guitarist from Mali, who died in March 2006 after a three-decade recording career which found him injecting American blues into traditional African music.",94,8.4,https://static.metacritic.com/images/products/music/2/156b9af1e22756b3bb7012fcf006748b-98.jpg
My Beautiful Dark Twisted Fantasy,Kanye West,"November 22, 2010","Breaking traditional mainstream hip-hop guidelines, Kanye West's latest release features epic raps and long instrumental variations for his most innovative album to date.",94,8.4,https://static.metacritic.com/images/products/music/7/286dff36d049c2e05fcd9878602c1744-98.jpg
Motomami,Rosalía,"March 18, 2022",The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.,94,8.6,https://static.metacritic.com/images/products/music/9/d468bc0db5adec8dfc03022307f73235-98.jpg
"Desire, I Want To Turn into You",Caroline Polachek,"February 14, 2023",The second full-length solo release for Caroline Polachek features guest appearances from Dido and Grimes.,94,8.9,https://static.metacritic.com/images/products/music/8/d6877303b344aa1474d889cdd2277344-98.jpg
Madvillainy,Madvillain,"March 23, 2004",'Madvillainy' is a collaboration between rapper MF Doom and producer Madlib.,93,8.9,https://static.metacritic.com/images/products/music/7/575c7a11d613427e1a6fb256431c5125-98.jpg
A Crow Looked at Me,Mount Eerie,"March 24, 2017",The eighth full-length release for the music project of Phil Elverum was written after the death of his wife from cancer in July 2016.,93,8.0,https://static.metacritic.com/images/products/music/5/92d7b198066d1163787019683db0ccc0-98.jpg
Room 25,Noname,"September 14, 2018",The debut full-length release for the Los Angeles-based Chicago rapper was self-released.,93,8.4,https://static.metacritic.com/images/products/music/4/9d147af8b42ce87058d1e74f3bb7f12d-98.jpg
Live At Reading,Nirvana,"November 3, 2009",The entire performance by Nirvana at 1992's Reading Festival is released both as a CD and DVD.,93,8.7,https://static.metacritic.com/images/products/music/1/ffc562310caf1da3454e8576fb07b337-98.jpg
Love And Theft,Bob Dylan,"September 11, 2001","Picking up where 1997's resurgent 'Time Out of Mind' left off, 'Love And Theft' finds the 60-year-old Dylan self-producing the album's 12 tracks.",93,8.7,https://static.metacritic.com/images/products/music/0/612eb7b85bd251069e400ac6bf075504-98.jpg
My Dusty Road,Woody Guthrie,"August 25, 2009",The four-disc set includes Woody Guthrie's recordings from the mid-1940s in a definitive collection.,93,7.2,https://static.metacritic.com/images/products/music/0/0ad83b76fee592d7b9a195dee9d2c86d-98.jpg
On the Impossible Past,The Menzingers,"February 21, 2012",The third full-length release from the punk rock band from Pennsylvania is its first on Epitaph Records.,93,8.0,https://static.metacritic.com/images/products/music/1/d853ea0c96c9887711eebb7e789d9be7-98.jpg
Supernova,Nova Twins,"June 17, 2022",The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.,92,6.7,https://static.metacritic.com/images/products/music/9/9e1c7abe1c649ce99142bed32a2e4a3b-98.jpg
